"대여소번호","대여소이름","GU","ADDRESS","lat","long","행정동코드","행정동명","시군구명","접근성","위험도","cluster"
203,"국회의사당역 3번출구 옆 대여소","영등포구","서울특별시 영등포구 국회대로 지하758",37.528057,126.918701,11560540,"여의동","영등포구",78.0629621,5200.59590650636,8
205,"산업은행 앞 대여소","영등포구","서울특별시 영등포구 의사당대로 97",37.526264,126.920509,11560540,"여의동","영등포구",84.67014715,5200.59590650636,8
206,"KBS 앞 대여소","영등포구","서울특별시 영등포구 여의공원로 13",37.524666,126.918022,11560540,"여의동","영등포구",80.34487055,5200.59590650636,8
210,"IFC몰 대여소","영등포구","서울특별시 영등포구 국제금융로 10",37.526066,126.925537,11560540,"여의동","영등포구",76.01959395,5200.59590650636,8
211,"여의도역 4번출구 옆 대여소","영등포구","서울특별시 영등포구 국회대로68길 7",37.522228,126.924637,11560540,"여의동","영등포구",106.3431771,5200.59590650636,8
212,"여의도역 1번출구 옆 대여소","영등포구","서울특별시 영등포구 의사당대로 88",37.521362,126.923462,11560540,"여의동","영등포구",135.0472428,5200.59590650636,8
213,"KT앞 대여소","영등포구","서울특별시 영등포구 여의대로 38",37.521908,126.918953,11560540,"여의동","영등포구",83.5077232,5200.59590650636,8
214,"금융감독원 앞 대여소","영등포구","서울특별시 영등포구 여의대로 38",37.523022,126.920837,11560540,"여의동","영등포구",125.3301381,5200.59590650636,8
219,"롯데캐슬엠파이어 옆 대여소","영등포구","서울특별시 영등포구 의사당대로 127",37.520695,126.925835,11560540,"여의동","영등포구",158.8067288,5200.59590650636,8
220,"미성아파트 A동 앞 대여소","영등포구","서울특별시 영등포구 의사당대로 110",37.519363,126.926048,11560540,"여의동","영등포구",167.06652565,5200.59590650636,8
225,"앙카라공원 앞 대여소","영등포구","서울특별시 영등포구 의사당대로 지하166",37.517368,126.929253,11560540,"여의동","영등포구",124.5387803,5200.59590650636,8
226,"샛강역 1번출구 앞 대여소","영등포구","서울특별시 영등포구 의사당대로 지하166",37.517765,126.928413,11560540,"여의동","영등포구",135.3421267,5200.59590650636,8
270,"증권거래소후문교차로 대여소","영등포구","서울특별시 영등포구 여의나루로 76",37.522343,126.927101,11560540,"여의동","영등포구",102.40865685,5200.59590650636,8
271,"샛강생태공원방문자센터 앞 대여소","영등포구","서울특별시 영등포구 여의동로 48",37.518963,126.921616,11560540,"여의동","영등포구",113.20215815,5200.59590650636,8
